Unit,Type,Era,Cost,Stats,Upgrades to,Notes,Unlocked by,Resource,Unique to,Replaces
Immortal,Melee,Classical Era,"Production: 100, Gold: 400, Maint.: 2","Movement: 2, Melee: 30, Ranged: 25, Range: 2, Sight: 2",Musketman,"Persian unique melee unit that replaces the Swordsman. Melee class unit with a ranged attack, Range 2. Strong defense strength.",Iron Working,,Persian,Swordsman
Infantry,Melee,Modern Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 2, Melee: 70, Sight: 2",Mechanized Infantry,Modern era melee unit.,Replaceable Parts,,,
Ironclad,Naval Melee,Industrial Era,"Production: 380, Gold: 1520, Maint.: 5","Movement: 5, Melee: 70, Sight: 3",Destroyer,Powerful Industrial era armored melee naval unit.,Steam Power,Coal,,
Jet Bomber,Air Bomber,Information Era,"Production: 700, Gold: 2800, Maint.: 8","Movement: 15, Melee: 90, Range: 15, Bombard: 120, Sight: 5",,Information era Bomber upgrade.,Stealth Technology,Aluminum,,
Jet Fighter,Air Fighter,Information Era,"Production: 650, Gold: 2600, Maint.: 8","Movement: 10, Melee: 110, Ranged: 110, Range: 6, Sight: 5",,Information era Fighter upgrade.,Lasers,Aluminum,,
Jong,Naval Ranged,Medieval Era,"Production: 300, Gold: 1200, Maint.: 5","Movement: 5, Melee: 45, Ranged: 55, Range: 2, Sight: 2",Battleship,Indonesian unique Medieval era naval unit that replaces the Frigate. Formation units all inherit escort's Movement speed and +5 Combat Strength when in a formation.,Mercenaries,,Indonesian,Frigate
Knight,Heavy Cavalry,Medieval Era,"Production: 180, Gold: 720, Maint.: 3","Movement: 4, Melee: 48, Sight: 2",Tank,"Hard-hitting, Medieval era heavy cavalry unit.",Stirrups,Iron,,
Legion,Melee,Classical Era,"Production: 110, Gold: 440, Maint.: 2","Movement: 2, Melee: 40, Build charges: 1, Sight: 2",Musketman,Roman unique Classical era melee unit that replaces the Swordsman. Can build a Roman Fort.,Iron Working,,Roman,Swordsman
Llanero,Light Cavalry,Industrial Era,"Production: 330, Gold: 1320, Maint.: 2","Movement: 5, Melee: 62, Sight: 2",Helicopter,Gran Colombian Industrial era unique unit that replaces the Cavalry. Low maintenance cost. +2 Combat Strength for every adjacent Llanero. Fully heals when in range of a Comandante General that activates its retire ability.,Military Science,,Gran Colombian,Cavalry
Machine Gun,Ranged,Atomic Era,"Production: 540, Gold: 2160, Maint.: 6","Melee: 65, Ranged: 75, Range: 2, Sight: 2",,Atomic era ranged unit.,Advanced Ballistics,,,
Mamluk,Heavy Cavalry,Medieval Era,"Production: 180, Gold: 720, Maint.: 3","Movement: 4, Melee: 48, Sight: 2",Tank,"Arabian unique Medieval era unit that replaces the Knight. Heals at the end of every turn, even after moving or attacking.",Stirrups,,Arabian,Knight
Maryannu Chariot Archer,Ranged,Ancient Era,"Production: 120, Gold: 480, Maint.: 2","Movement: 2, Melee: 25, Ranged: 35, Range: 2, Sight: 2",Crossbowman,Egyptian unique Ancient era ranged unit that replaces the Heavy Chariot. 4 Movement when starting in open terrain.,Wheel,,Egyptian Heavy,Chariot
Mechanized Infantry,Melee,Information Era,"Production: 650, Gold: 2600, Maint.: 8","Movement: 3, Melee: 85, Sight: 2",,Information era melee unit.,Satellites,,,
Medic,Support,Industrial Era,"Production: 370, Gold: 1480, Maint.: 5","Movement: 2, Sight: 2",,Industrial era support unit. Can heal adjacent units.,Sanitation,,,
Military Engineer,Support,Medieval Era,"Production: 170, Gold: 680, Maint.: 4","Movement: 2, Build charges: 2, Sight: 2",,"Medieval era support unit. Can construct Roads, Forts, Airstrip and Missile Silos improvements.",Military Engineering,,,
Minas Geraes,Naval Ranged,Industrial Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 5, Melee: 70, Ranged: 80, Range: 3, Sight: 95",Missile Cruiser,Brazilian unique Industrial era unit that replaces the Battleship. Stronger than the Battleship. Unlocked by Nationalism.,Nationalism,,Brazilian,Battleship
Missile Cruiser,Naval Ranged,Information Era,"Production: 680, Gold: 2720, Maint.: 8","Movement: 5, Melee: 70, Ranged: 85, Range: 3, Sight: 110",,"Strongest ranged naval unit, available in the Information era.",Lasers,,,
Mobile SAM,Support,Information Era,"Production: 590, Gold: 2360, Maint.: 4","Movement: 3, Range: 1, Sight: 100",,Information era anti-air support unit. Provides cover from air and nuclear attacks up to 1 tile away from the weapon.,Guidance Systems,,,
Modern AT,Anti Cavalry,Information Era,"Production: 580, Gold: 2320, Maint.: 8","Movement: 3, Melee: 80, Sight: 2",,Information era counter to cavalry class units.,Composites,,,
Modern Armor,Heavy Cavalry,Information Era,"Production: 680, Gold: 2720, Maint.: 8","Movement: 4, Melee: 90, Sight: 2",,Information era cavalry unit that is fast and strong.,Composites,Oil,,
Musketman,Melee,Renaissance Era,"Production: 240, Gold: 960, Maint.: 4","Movement: 2, Melee: 55, Sight: 2","Infantry, Digger",Renaissance era melee unit.,Gunpowder,Niter,,
Naturalist,Civilian,Modern Era,Faith: 1600,"Movement: 4, Sight: 3",,A late-game civilian who can create a single National Park to attract tourists.,Conservation,,,
Ngao Mbeba,Melee,Classical Era,"Production: 110, Gold: 440, Maint.: 2","Movement: 2, Melee: 36, Sight: 2",Musketman,Kongo unique Classical era unit that replaces the Swordsman. +10 Combat Strength when defending against ranged attacks. Can move and see through Woods and Rainforest.,Iron Working,,Kongolese,Swordsman
Nuclear Submarine,Naval Raider,Information Era,"Production: 680, Gold: 2720, Maint.: 8","Movement: 4, Melee: 80, Ranged: 85, Range: 2, Sight: 2",,Highly advanced Information era ranged raiding naval unit that can be armed with nuclear weapons. Can only be seen by other Naval Raiders unless adjacent to it. Reveals Naval Raiders within sight range.,Telecommunications,Uranium,,
Observation Balloon,Support,Modern Era,"Production: 240, Gold: 960, Maint.: 2","Movement: 2, Sight: 3",,Modern era support unit. Adds +1 Range to adjacent bombard strength units.,Flight,,,
Oromo Cavalry,Light Cavalry,Medieval Era,"Production: 200, Gold: 800, Maint.: 3","Movement: 5, Melee: 46, Sight: 3",Cavalry,Ethiopian unique Medieval era light cavalry unit. Stronger and greater sight than the Courser that it replaces. Receives no Movement penalty from moving in Hills.,Castles,,Ethiopian,Courser
P-51 Mustang,Air Fighter,Atomic Era,"Production: 520, Gold: 2080, Maint.: 7","Movement: 10, Melee: 105, Ranged: 105, Range: 5, Sight: 4",Jet Fighter,"American unique Modern era air unit that replaces the Fighter. Gains +5 attack against fighter aircraft, has +2 flight range, and gains +50% experience.",Advanced Flight,,American,Fighter
Pikeman,Anti Cavalry,Medieval Era,"Production: 200, Gold: 800, Maint.: 3","Movement: 2, Melee: 41, Sight: 2",AT Crew,Medieval era melee unit that's strong against mounted units.,Military Tactics,,,
Privateer,Naval Raider,Renaissance Era,"Production: 280, Gold: 1120, Maint.: 4","Movement: 4, Melee: 40, Ranged: 50, Range: 2, Sight: 2","Submarine, U-Boat",Renaissance era ranged naval unit with the ability to coastal raid. Can only be seen by other Naval Raiders unless adjacent to it. Reveals Naval Raiders within sight range.,Mercantilism,,,
Pítati Archer,Ranged,Ancient Era,"Production: 70, Gold: 280, Maint.: 1","Movement: 3, Melee: 17, Ranged: 30, Range: 2, Sight: 2",,Nubian unique Ancient era unit that replaces the Archer. Stronger than the Archer with extra Movement. Upgrades to Crossbowman.,Archery,,Nubian,Archer
Quadrireme,Naval Ranged,Classical Era,"Production: 120, Gold: 480, Maint.: 2","Movement: 3, Melee: 20, Ranged: 25, Range: 1, Sight: 2","Frigate, Jong",Can only operate on Coastal waters until Cartography is researched.,Shipbuilding,,,
Ranger,Recon,Industrial Era,"Production: 380, Gold: 1520, Maint.: 5","Movement: 3, Melee: 45, Ranged: 60, Range: 1, Sight: 2",,Fast-moving Industrial era recon unit.,Rifling,,,
Redcoat,Melee,Industrial Era,"Production: 340, Gold: 1360, Maint.: 5","Movement: 2, Melee: 65, Sight: 2",Mechanized Infantry,English unique Industrial era unit when Victoria is their leader. +10 Combat Strength when fighting on a continent other than that of your Capital 's. No disembark cost.,Military Science,,Victoria,
Rocket Artillery,Siege,Information Era,"Production: 680, Gold: 2720, Maint.: 8","Movement: 3, Melee: 70, Range: 3, Bombard: 95, Sight: 3",,"Information era bombard unit, ideal for attacking cities. Cannot move and attack on the same turn unless they've earned the Expert Crew promotion.",Guidance Systems,,,
Rough Rider,Heavy Cavalry,Industrial Era,"Production: 385, Gold: 1540, Maint.: 2","Movement: 5, Melee: 67, Sight: 2",Modern Armor,American unique Modern era unit when Teddy Roosevelt is their leader. Culture is earned from kills on their Capital 's continent. +10 Combat Strength when fighting on Hills. Lower maintenance cost.,Rifling,,Roosevelt,
Sabum Kibittum,Melee,Ancient Era,"Production: 35, Gold: 140","Movement: 3, Melee: 17, Sight: 2",Swordsman,Babylonian unique Ancient era melee unit. +17 Combat Strength against Heavy and Light Cavalry promotion class units. This unit has 3 Movement and sight.,,,Babylonian,
Saka Horse Archer,Ranged,Classical Era,"Production: 100, Gold: 400, Maint.: 2","Movement: 4, Melee: 15, Ranged: 25, Range: 1, Sight: 2",Field Cannon,Scythian unique Classical era unit. Ranged unit with 4 Movement with a Range of 1.,Horseback Riding,,Scythian,
Samurai,Melee,Medieval Era,"Production: 160, Gold: 640, Maint.: 3","Movement: 2, Melee: 48, Sight: 2",Musketman,Japanese unique Medieval era melee unit. Does not suffer combat penalties when damaged.,Military Tactics,,Japanese,
Scout,Recon,Ancient Era,"Production: 30, Gold: 120","Movement: 3, Melee: 10, Sight: 2",Ranger,"Fast-moving, Ancient era recon unit.",,,,
Sea Dog,Naval Raider,Renaissance Era,"Production: 280, Gold: 1120, Maint.: 4","Movement: 4, Melee: 40, Ranged: 50, Range: 2, Sight: 2",Submarine,English unique Renaissance era naval unit that replaces the Privateer. Can capture enemy ships. Cannot be seen unless adjacent to it.,Mercantilism,,English,Privateer
Settler,Civilian,Ancient Era,"Production: 80, Gold: 320","Movement: 2, Sight: 3",,May create new cities. Reduces city's Population by 1 when completed. Requires at least 2 Population.,,,,
Siege Tower,Support,Classical Era,"Production: 100, Gold: 400, Maint.: 2","Movement: 2, Sight: 2",Medic,"When adjacent to a city , attacking units ignore Walls and immediately assault the city.",Construction,,,
Slinger,Ranged,Ancient Era,"Production: 35, Gold: 140","Movement: 2, Melee: 5, Ranged: 15, Range: 1, Sight: 2","Archer, Pítati Archer, Hul'che",Weak Ancient era ranged unit. Better on attack than defense.,,,,
Spearman,Anti Cavalry,Ancient Era,"Production: 65, Gold: 260, Maint.: 1","Movement: 2, Melee: 25, Sight: 2",Pikeman,Ancient era melee unit that's effective against mounted units.,Bronze Working,,,
Spy,Civilian,Renaissance Era,"Production: 225, Maint.: 4",Sight: 3,,Performs secret missions in foreign cities and protects your cities from enemy Spies.,,,,
Submarine,Naval Raider,Modern Era,"Production: 480, Gold: 1920, Maint.: 6","Movement: 3, Melee: 65, Ranged: 75, Range: 2, Sight: 2",Nuclear Submarine,Modern era ranged raiding naval unit. Can only be seen by other Naval Raiders unless adjacent to it. Reveals Naval Raiders within sight range.,Electricity,,,
Swordsman,Melee,Classical Era,"Production: 90, Gold: 360, Maint.: 2","Movement: 2, Melee: 36, Sight: 2","Musketman, Conquistador",Strong Classical era melee unit.,Iron Working,Iron,,
Tagma,Heavy Cavalry,Medieval Era,"Production: 180, Gold: 720, Maint.: 3","Movement: 4, Melee: 48, Sight: 2",Tank,Basil II's unique Medieval era unit that replaces the Knight. Land units within 1 tile of the Tagma receive +4 Combat Strength or Religious Strength.,Divine Right,,Basil II,Knight
Tank,Heavy Cavalry,Modern Era,"Production: 480, Gold: 1920, Maint.: 6","Movement: 4, Melee: 80, Sight: 2",Modern Armor,Fast-moving Modern era heavy cavalry unit that ignores zone of control.,Combustion,Oil,,
Trader,Civilian,Ancient Era,"Production: 40, Gold: 160, Maint.: 0","Movement: 2, Sight: 2",,May make and maintain a single Trade Route. Automatically creates Roads as it travels.,Foreign Trade,,,
U-Boat,Naval Raider,Modern Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 3, Melee: 65, Ranged: 75, Range: 2, Sight: 3",Nuclear Submarine,"German unique Modern era naval unit that replaces the Submarine. Cheaper to produce, +1 Sight, and +10 Combat Strength when fighting on Ocean tiles. Able to reveal other stealthed units.",Electricity,,German,Submarine
Varu,Heavy Cavalry,Classical Era,"Production: 120, Gold: 480, Maint.: 3","Movement: 2, Melee: 40, Sight: 3",Tank,Indian unique Classical era unit that replaces the Horseman. Adjacent enemy units receive -5 Combat Strength.,Horseback Riding,,Indian,
Viking Longship,Naval Melee,Ancient Era,"Production: 65, Gold: 260, Maint.: 1","Movement: 3, Melee: 35, Sight: 2",Caravel,Norwegian unique Ancient era naval unit that replaces the Galley. Can pillage enemy coastal lands and capture civilians if adjacent using its coastal raiding ability. 4 Movement while in coastal waters.,Sailing,,Harald Hardrada,Galley
War-Cart,Heavy Cavalry,Ancient Era,"Production: 55, Gold: 220","Movement: 3, Melee: 30, Sight: 2",Knight,Sumerian unique Ancient era unit. Stronger than all other starting units. No penalties against anti-cavalry units. 4 Movement if this unit starts in open terrain.,,,Sumerian,
Warrior,Melee,Ancient Era,"Production: 40, Gold: 160","Movement: 2, Melee: 20, Sight: 2","Swordsman, Hypaspist, Immortal, Legion, Ngao Mbeba",Weak Ancient era melee unit.,,,,
Winged Hussar,Heavy Cavalry,Medieval Era,"Production: 250, Gold: 1000, Maint.: 3","Movement: 4, Melee: 55, Sight: 2",Tank,Polish unique Medieval era unit. Pushes defending enemy units back from their hex in any battle where they score more damage. Defenders that cannot retreat suffer additional damage.,Mercenaries,,Polish,
