Policy,Type,Notes,Supersedes,Obsoleted by,Civic,Era
Levée en Masse,Military,Unit maintenance cost reduced by 2 Gold per unit.,Conscription,,Mobilization,Modern Era
Laissez-Faire,Wildcard,+4 Great Merchant points per turn.,Travelling Merchants,,Capitalism,Modern Era
Market Economy,Economic,"Your international Trade Routes provide +1 Gold, +2 Culture, and +2 Science per Strategic Resource improved at the destination.",Trade Confederation,,Capitalism,Modern Era
Police State,Diplomatic,"Enemy Spy levels reduced by 2 in your lands. However, all cities suffer -1 Amenity.",,,Ideology,Modern Era
Science Foundations,Wildcard,+4 Great Scientist points per turn.,Inspiration,,Nuclear Program,Modern Era
Nuclear Espionage,Diplomatic,Spies who steal a tech boost without being detected gain an extra boost.,,,Nuclear Program,Modern Era
Economic Union,Economic,+100% Commercial Hub and Harbor district adjacency bonuses.,"Naval Infrastructure, Town Charters",,Suffrage,Modern Era
Their Finest Hour,Military,+50% Production toward Modern and Atomic air units.,,Strategic Air Force,Suffrage,Modern Era
Arsenal of Democracy,Diplomatic,Your Trade Routes to an ally's city provide +2 Food and Production for both cities.,Wisselbanken,,Suffrage,Modern Era
New Deal,Economic,"+4 Housing, +2 Amenities, -8 Gold to all cities with at least 3 specialty districts.","Medina Quarter, Liberalism",,Suffrage,Modern Era
Lightning Warfare,Military,+50% Production for all heavy and light cavalry units.,"Chivalry, Maneuver",,Totalitarianism,Modern Era
Third Alternative,Economic,"+4 Gold from each Research Lab, Military Academy and Power Plant.",,,Totalitarianism,Modern Era
Martial Law,Military,Accumulate 25% less war weariness than usual.,,,Totalitarianism,Modern Era
Gunboat Diplomacy,Diplomatic,"Open Borders with all City-States, and +4 influence points per turn towards earning Envoys.",Charismatic Leader,,Totalitarianism,Modern Era
Five-Year Plan,Economic,+100% Campus and Industrial Zone district adjacency bonuses.,"Craftsmen, Natural Philosophy",,Class Struggle,Modern Era
Collectivization,Economic,+4 Food from domestic Trade Routes.,,,Class Struggle,Modern Era
Patriotic War,Military,"+100% Production towards Modern, Atomic and Information era support units.",,,Class Struggle,Modern Era
Defense of the Motherland,Military,No war weariness from combat in your territory.,,,Class Struggle,Modern Era
Cryptography,Diplomatic,Enemy Spy level reduced by 2 in your lands. Your Spy level is increased by 1 for offensive operations.,,,Cold War,Atomic Era
International Waters,Military,"+100% Production towards all naval units, excluding Carriers.","Maritime Industries, Press Gangs",,Cold War,Atomic Era
Containment,Diplomatic,"Each Envoy you send to a City-State counts as two, if its Suzerain has different government than you.",,,Cold War,Atomic Era
Heritage Tourism,Economic,+100% Tourism from Great Works and Artifacts.,,,Cultural Heritage,Atomic Era
Sports Media,Economic,"+100% Theater Square district adjacency bonuses, and Stadiums generate +1 Amenity.","Aesthetics, Grand Opera",,Professional Sports,Atomic Era
Military First,Military,"+50% Production toward all melee, anti-cavalry and ranged units.",Grande Armee,,Rapid Deployment,Atomic Era
Satellite Broadcasts,Economic,+200% Tourism from Great Works of Music.,,,Space Race,Atomic Era
Integrated Space Cell,Military,+15% Production towards Space Race projects if a city has either a Military Academy or a Seaport.,Military Research,,Space Race,Atomic Era
Strategic Air Force,Military,+50% Production toward all air units and toward Carriers.,Their Finest Hour,,Globalization,Information Era
Ecommerce,Economic,+5 Production and +10 Gold from international Trade Routes.,Triangular Trade,,Globalization,Information Era
International Space Agency,Diplomatic,+10% Science per City-State you are the Suzerain of.,,,Globalization,Information Era
Online Communities,Economic,+50% Tourism output to civilizations to which you have a Trade Route.,,,Social Media,Information Era
Collective Activism,Diplomatic,+10% Culture per City-State you are the Suzerain of.,,,Social Media,Information Era
