Wonder,Era,Requires,Cost,Effects,Placement
Mausoleum at Halicarnassus,Classical Era,Defensive Tactics,400,"+1 Science, +1 Faith, and +1 Culture on all Coast tiles in this city., All Great Engineers have an additional charge.",Must be built on a coastal tile adjacent to a Harbor district.
Mont St. Michel,Medieval Era,Divine Right,710,"+2 Faith, +2 Relic slots, All Apostles you create gain the Martyr ability in addition to a second ability you choose normally.",Must be built on Floodplains or Marsh.
Oracle,Ancient Era,Mysticism,290,"+1 Culture, +1 Faith, Patronage of Great People costs 25% less Faith., Districts in this city provide +2 Great Person points of their type.",Must be built on Hills.
Oxford University,Industrial Era,Scientific Theory,1240,"+3 Great Scientist points per turn, +2 Great Works of Writing slots, +20% Science in city, and awards 2 randomly chosen free technologies when completed.",Must be built on flat Grasslands or Plains adjacent to a Campus district with a University.
Petra,Classical Era,Mathematics,400,"+2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains)",Must be built on Desert or Floodplains without Hills.
Potala Palace,Renaissance Era,Astronomy,1060,"+2 Culture, +3 Faith, +1 Diplomatic policy slot",Must be built on a Hill adjacent to a Mountain.
Pyramids,Ancient Era,Masonry,220,"+2 Culture, Grants a free Builder., All Builders can build one extra improvement.",Must be built on Desert (including Floodplains) without Hills.
Ruhr Valley,Industrial Era,Industrialization,1240,"+20% Production in this city, and +1 Production for each Mine and Quarry in this city.",Must be built along a River adjacent to an Industrial Zone district with a Factory.
Statue of Zeus,Classical Era,Military Training,400,"+3 Gold, Grants 3 Spearmen, 3 Archers, and a Battering Ram., +50% Production towards anti-cavalry units across your civilization.",Must be built on flat land adjacent to an Encampment with a Barracks.
Stonehenge,Ancient Era,Astrology,180,"+2 Faith, Grants a free Great Prophet., Great Prophets may found a religion on Stonehenge instead of a Holy Site.",Must be built on flat land adjacent to Stone.
Sydney Opera House,Atomic Era,Cultural Heritage,1850,"+8 Culture, +5 Great Musician points per turn, +3 Great Works of Music slots",Must be built on Coast adjacent to a Harbor. Cannot be built on a Lake.
Terracotta Army,Classical Era,Construction,400,"+2 Great General points per turn, All current land units gain a Promotion level., All Archaeologists from the owner may enter foreign lands without Open Borders.",Must be built on flat Grassland or Plains adjacent to an Encampment district with a Barracks or Stable.
Venetian Arsenal,Renaissance Era,Mass Production,920,"+2 Great Engineer points per turn, Receive a second naval unit each time you train a naval unit.[6]",Must be built on the Coast and adjacent to an Industrial Zone district.
